"account","userName","eventSource","eventName","calls"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","ListTagsForResource","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketMetricsConfiguration","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketReplication","13"
"362055466028","AWSServiceRoleForResourceExplorer","glue.amazonaws.com","GetDatabases","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketObjectLockConfiguration","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketPublicAccessBlock","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketVersioning","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","kms.amazonaws.com","Decrypt","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketAbac","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketCors","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketMetadataTableConfiguration","13"
"045107234435","GitHubActionsDeploymentRole-us-east-2-045107234435","sts.amazonaws.com","GetCallerIdentity","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketIntelligentTieringConfiguration","13"
"362055466028","AWSServiceRoleForResourceExplorer","guardduty.amazonaws.com","ListDetectors","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetAccelerateConfiguration","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketInventoryConfiguration","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketOwnershipControls","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketMetadataConfiguration","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketEncryption","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketWebsite","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketLogging","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketNotification","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketAnalyticsConfiguration","13"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","iam.amazonaws.com","ListAttachedRolePolicies","12"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","iam.amazonaws.com","GetRole","12"
"693590665244","AWSServiceRoleForResourceExplorer","s3.amazonaws.com","GetBucketLogging","12"
"693590665244","GitHubActionsDeploymentRole-us-east-2-693590665244","kms.amazonaws.com","Decrypt","12"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","iam.amazonaws.com","GetRolePolicy","12"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","iam.amazonaws.com","ListRolePolicies","12"
"651295191577","GitHubActionsDeploymentRole-us-east-2-651295191577","kms.amazonaws.com","Decrypt","12"
"362055466028","AWSServiceRoleForResourceExplorer","apigateway.amazonaws.com","GetRestApis","12"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-2","cloudfront.amazonaws.com","GetDistribution","12"
